,pq_#,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,line_item_insurance_(usd),days_to_process
726,Pre-PQ Process,SCMS-27070,ASN-2353,Nigeria,Direct Drop,EXW,HIV test - Ancillary,100,6875,68.75,0.01,0.0,Yes,Invoiced Separately,Air,0.11,-271
727,Pre-PQ Process,SCMS-27810,ASN-2591,Ethiopia,Direct Drop,EXW,HIV test,20,4200,134400.0,32.0,1.6,Yes,18180.65,Air,215.04,-238
728,Pre-PQ Process,SCMS-28730,ASN-2658,Mozambique,Direct Drop,EXW,HIV test,100,7690,553603.1,71.99,0.72,No,See ASN-2658 (ID#:4650),Air,1085.06,-212
729,Pre-PQ Process,SCMS-28830,ASN-2502,South Africa,Direct Drop,DDP,Adult,60,240,4860.0,20.25,0.34,No,Freight Included in Commodity Cost,Truck,7.78,-287
730,Pre-PQ Process,SCMS-28830,ASN-2503,South Africa,Direct Drop,DDP,Pediatric,200,120,176.4,1.47,0.01,No,Freight Included in Commodity Cost,Truck,0.28,-291
731,Pre-PQ Process,SCMS-28830,ASN-2503,South Africa,Direct Drop,DDP,Adult,60,1500,7965.0,5.31,0.09,No,Freight Included in Commodity Cost,Truck,12.74,-291
732,Pre-PQ Process,SCMS-29330,ASN-2923,Côte d'Ivoire,Direct Drop,EXW,ACT,24,25000,17500.0,0.7,0.03,Yes,8530.29,Air,34.3,-129
733,Pre-PQ Process,SCMS-30410,ASN-2712,Côte d'Ivoire,Direct Drop,EXW,HIV test,40,603,45828.0,76.0,1.9,Yes,9698.22,Air,89.82,-189
734,Pre-PQ Process,SCMS-31190,ASN-2718,Namibia,Direct Drop,CIP,HIV test,25,7,525.0,75.0,3.0,Yes,85.27,Air,1.03,-216
735,Pre-PQ Process,SCMS-31720,ASN-3312,Vietnam,Direct Drop,EXW,Adult,60,7800,22620.0,2.9,0.05,No,See ASN-3312 (ID#:6081),Air,44.34,-94
736,Pre-PQ Process,SCMS-32630,ASN-3154,Ethiopia,Direct Drop,EXW,HIV test,1,3510,80730.0,23.0,23.0,Yes,20083.74,Air,158.23,-126
737,Pre-PQ Process,SCMS-32640,ASN-2933,Ethiopia,Direct Drop,EXW,HIV test,1,3510,80730.0,23.0,23.0,Yes,23035.69,Air,158.23,-182
738,Pre-PQ Process,SCMS-32640,ASN-2934,Ethiopia,Direct Drop,EXW,HIV test,1,3510,80730.0,23.0,23.0,Yes,23035.69,Air,158.23,-182
739,Pre-PQ Process,SCMS-33320,ASN-3553,South Africa,Direct Drop,DDP,Adult,60,350,4417.0,12.62,0.21,No,Freight Included in Commodity Cost,Truck,8.66,-235
740,Pre-PQ Process,SCMS-33320,ASN-3553,South Africa,Direct Drop,DDP,Adult,60,1200,5772.0,4.81,0.08,No,Freight Included in Commodity Cost,Truck,11.31,-235
741,Pre-PQ Process,SCMS-33320,ASN-3553,South Africa,Direct Drop,DDP,Pediatric,60,10,123.1,12.31,0.21,No,Freight Included in Commodity Cost,Truck,0.24,-235
742,Pre-PQ Process,SCMS-37160,ASN-3561,Vietnam,Direct Drop,EXW,Adult,60,4032,34715.52,8.61,0.14,No,See ASN-3561 (ID#:2297),Air,68.04,-55
743,Pre-PQ Process,SCMS-38400,ASN-3694,Tanzania,Direct Drop,FCA,Adult,120,12560,516216.0,41.1,0.34,Yes,12815.42,Air,1011.78,-5
744,Pre-PQ Process,SCMS-39420,ASN-3632,Côte d'Ivoire,Direct Drop,EXW,HIV test,100,2000,140000.0,70.0,0.7,Yes,8603.58,Air,274.4,-69
745,Pre-PQ Process,SCMS-39970,ASN-3628,Haiti,Direct Drop,EXW,Pediatric,60,40,620.0,15.5,0.26,No,See ASN-3628 (ID#:2399),Air,1.22,-60
746,Pre-PQ Process,SCMS-40010,ASN-3629,Haiti,Direct Drop,EXW,Pediatric,30,1242,2782.08,2.24,0.07,Yes,1448.55,Air,5.45,-55
747,Pre-PQ Process,SCMS-40310,ASN-3664,Haiti,Direct Drop,EXW,HIV test,100,110,15290.0,139.0,1.39,Yes,1953.6,Air,29.97,-69
748,Pre-PQ Process,SCMS-40780,ASN-3607,South Africa,Direct Drop,DDP,Adult,60,300,3699.0,12.33,0.21,No,Freight Included in Commodity Cost,Air,7.25,-185
749,Pre-PQ Process,SCMS-40780,ASN-3607,South Africa,Direct Drop,DDP,Pediatric,240,540,2030.4,3.76,0.02,No,Freight Included in Commodity Cost,Air,3.98,-185
750,Pre-PQ Process,SCMS-40780,ASN-3607,South Africa,Direct Drop,DDP,Adult,120,1500,47880.0,31.92,0.27,No,Freight Included in Commodity Cost,Air,93.84,-185
751,Pre-PQ Process,SCMS-40810,ASN-3634,South Africa,Direct Drop,DDP,Adult,30,6734,98383.74,14.61,0.49,No,Freight Included in Commodity Cost,Air,192.83,-181
752,Pre-PQ Process,SCMS-41050,ASN-3635,South Africa,Direct Drop,DDP,Pediatric,30,144,440.64,3.06,0.1,No,See ASN-3635 (ID#:3745),Air,0.86,-178
753,Pre-PQ Process,SCMS-41090,ASN-3626,South Africa,Direct Drop,DDP,Pediatric,30,2996,9197.72,3.07,0.1,Yes,Freight Included in Commodity Cost,Air,18.03,-125
754,Pre-PQ Process,SCMS-41140,ASN-3752,South Africa,Direct Drop,DDP,Adult,270,30,1634.7,54.49,0.2,No,Freight Included in Commodity Cost,Air,3.2,-192
755,Pre-PQ Process,SCMS-41140,ASN-3752,South Africa,Direct Drop,DDP,Pediatric,30,400,912.0,2.28,0.08,No,Freight Included in Commodity Cost,Air,1.79,-192
756,Pre-PQ Process,SCMS-41140,ASN-3752,South Africa,Direct Drop,DDP,Pediatric,60,10,100.6,10.06,0.17,No,Freight Included in Commodity Cost,Air,0.2,-192
757,Pre-PQ Process,SCMS-41190,ASN-3732,South Africa,Direct Drop,DDP,Pediatric,200,650,741.0,1.14,0.01,No,Freight Included in Commodity Cost,Air,1.45,-131
758,Pre-PQ Process,SCMS-41190,ASN-3732,South Africa,Direct Drop,DDP,Pediatric,240,350,1781.5,5.09,0.02,No,Freight Included in Commodity Cost,Air,3.49,-131
759,Pre-PQ Process,SCMS-41200,ASN-3735,South Africa,Direct Drop,DDP,Pediatric,300,70,2163.7,30.91,0.1,Yes,Freight Included in Commodity Cost,Air,4.24,-131
760,Pre-PQ Process,SCMS-41440,ASN-4180,South Africa,Direct Drop,DDP,Pediatric,300,440,15831.2,35.98,0.12,Yes,Freight Included in Commodity Cost,Truck,31.03,-48
761,Pre-PQ Process,SCMS-41581,ASN-4196,South Africa,Direct Drop,DDP,Pediatric,200,1500,3150.0,2.1,0.01,No,Freight Included in Commodity Cost,Air,6.17,-48
762,Pre-PQ Process,SCMS-41584,ASN-4385,South Africa,Direct Drop,DDP,Adult,120,2965,106680.7,35.98,0.3,No,Freight Included in Commodity Cost,Air,209.09,-42
763,Pre-PQ Process,SCMS-41585,ASN-4386,South Africa,Direct Drop,DDP,Pediatric,240,1900,10564.0,5.56,0.02,No,Freight Included in Commodity Cost,Air,20.71,-41
764,Pre-PQ Process,SCMS-41580,ASN-4603,South Africa,Direct Drop,DDP,Adult,60,4553,13659.0,3.0,0.05,No,Freight Included in Commodity Cost,Truck,26.77,4
765,Pre-PQ Process,SCMS-42300,ASN-4318,Guyana,Direct Drop,EXW,HIV test,20,1371,43872.0,32.0,1.6,Yes,5733.61,Air,85.99,38
766,Pre-PQ Process,SCMS-42440,ASN-4514,South Africa,Direct Drop,DDP,Pediatric,30,600,1890.0,3.15,0.1,Yes,Freight Included in Commodity Cost,Truck,3.7,7
767,Pre-PQ Process,SCMS-47430,ASN-4244,South Africa,Direct Drop,DDP,Adult,60,300,5031.0,16.77,0.28,No,Freight Included in Commodity Cost,Truck,9.86,-45
768,Pre-PQ Process,SCMS-45080,ASN-4420,Vietnam,Direct Drop,EXW,Adult,60,18000,43200.0,2.4,0.04,No,See ASN-4420 (ID#:1183),Air,84.67,39
769,Pre-PQ Process,SCMS-45620,ASN-4511,Namibia,Direct Drop,EXW,Pediatric,60,1812,4348.8,2.4,0.04,No,See ASN-4511 (ID#:2571),Air,8.52,78
770,Pre-PQ Process,SCMS-45660,ASN-4378,Uganda,Direct Drop,CIP,Adult,30,84,1540.56,18.34,0.61,Yes,390.81,Air,3.02,35
771,Pre-PQ Process,SCMS-46080,ASN-4216,Botswana,Direct Drop,EXW,HIV test,100,15,1050.0,70.0,0.7,Yes,383.65,Air,2.06,36
772,Pre-PQ Process,SCMS-46510,ASN-4696,Tanzania,Direct Drop,FCA,Adult,270,5178,461436.41,89.11,0.33,Yes,16751.58,Air,904.42,116
773,Pre-PQ Process,SCMS-47130,ASN-4416,Namibia,Direct Drop,EXW,HIV test,100,24,1680.0,70.0,0.7,Yes,868.31,Air,3.29,56
774,Pre-PQ Process,SCMS-19,ASN-13,Vietnam,Direct Drop,EXW,Adult,270,1000,164620.0,164.62,0.61,Yes,7828.28,Air,47.04,-1002
775,Pre-PQ Process,SCMS-21,ASN-15,Côte d'Ivoire,Direct Drop,FCA,HIV test,100,500,40000.0,80.0,0.8,Yes,1275.12,Air,47.04,-989
776,Pre-PQ Process,SCMS-33,ASN-19,Nigeria,Direct Drop,DDU,HIV test,100,500,60000.0,120.0,1.2,Yes,Freight Included in Commodity Cost,Air,47.04,-1046
777,Pre-PQ Process,SCMS-39,ASN-37,Zambia,Direct Drop,FCA,HIV test,100,1000,80000.0,80.0,0.8,Yes,2373.73,Air,47.04,-986
778,Pre-PQ Process,SCMS-75,ASN-75,Haiti,Direct Drop,DDP,HIV test,100,150,22500.0,150.0,1.5,Yes,Freight Included in Commodity Cost,Air,47.04,-990
779,Pre-PQ Process,SCMS-107,ASN-69,Côte d'Ivoire,Direct Drop,FCA,HIV test,100,850,68000.0,80.0,0.8,Yes,156.97,Air,47.04,-930
780,Pre-PQ Process,SCMS-109,ASN-68,Zambia,Direct Drop,FCA,HIV test,100,1250,100000.0,80.0,0.8,Yes,2487.58,Air,47.04,-944
781,Pre-PQ Process,SCMS-139,ASN-130,Zambia,Direct Drop,DDU,Adult,180,1307,64461.24,49.32,0.27,No,Freight Included in Commodity Cost,Air,47.04,-875
782,Pre-PQ Process,SCMS-167,ASN-270,Vietnam,Direct Drop,EXW,Adult,60,100,1084.0,10.84,0.18,No,See ASN-270 (ID#:5279),Air,47.04,-810
783,Pre-PQ Process,SCMS-176,ASN-129,Uganda,Direct Drop,EXW,Adult,120,1270,26670.0,21.0,0.18,Yes,1262.91,Air,47.04,-892
784,Pre-PQ Process,SCMS-231,ASN-139,Zimbabwe,Direct Drop,CIP,Pediatric,60,425,10837.5,25.5,0.42,Yes,Freight Included in Commodity Cost,Air,47.04,-896
785,Pre-PQ Process,SCMS-275,ASN-193,Haiti,Direct Drop,EXW,HIV test,100,60,10500.0,175.0,1.75,Yes,749.96,Air,47.04,-860
786,Pre-PQ Process,SCMS-344,ASN-207,Nigeria,Direct Drop,EXW,HIV test,20,2496,67392.0,27.0,1.35,Yes,4474.15,Air,47.04,-819
787,Pre-PQ Process,SCMS-344,ASN-280,Nigeria,Direct Drop,EXW,HIV test,20,5004,135108.0,27.0,1.35,Yes,11731.15,Air,47.04,-809
788,Pre-PQ Process,SCMS-433,ASN-281,Guyana,Direct Drop,EXW,HIV test,20,50,1350.0,27.0,1.35,Yes,378.6,Air,47.04,-797
789,Pre-PQ Process,SCMS-539,ASN-364,Haiti,Direct Drop,EXW,HIV test,100,1000,80000.0,80.0,0.8,Yes,2802.42,Air,47.04,-760
790,Pre-PQ Process,SCMS-587,ASN-417,Nigeria,Direct Drop,EXW,HIV test,100,2500,200000.0,80.0,0.8,Yes,5469.91,Air,47.04,-732
791,Pre-PQ Process,SCMS-753,ASN-781,Vietnam,Direct Drop,EXW,Pediatric,240,500,950.0,1.9,0.01,No,See ASN-781 (ID#:115),Air,1.52,-595
792,Pre-PQ Process,SCMS-10250,ASN-682,Tanzania,Direct Drop,EXW,HIV test,25,10000,200000.0,20.0,0.8,Yes,28837.28,Air,320.0,-585
793,Pre-PQ Process,SCMS-10330,ASN-1932,Tanzania,Direct Drop,EXW,HIV test,25,10000,200000.0,20.0,0.8,Yes,22691.75,Air,320.0,-314
794,Pre-PQ Process,SCMS-11690,ASN-871,Zimbabwe,Direct Drop,CIP,HIV test,100,5,1750.0,350.0,3.5,Yes,Freight Included in Commodity Cost,Air,2.8,-508
795,Pre-PQ Process,SCMS-14050,ASN-1251,South Africa,Direct Drop,DDP,Pediatric,90,60,2112.0,35.2,0.39,No,Freight Included in Commodity Cost,Air,3.38,-489
796,Pre-PQ Process,SCMS-14050,ASN-1251,South Africa,Direct Drop,DDP,Adult,60,1500,9600.0,6.4,0.11,No,Freight Included in Commodity Cost,Air,15.36,-489
797,Pre-PQ Process,SCMS-14220,ASN-1305,Rwanda,Direct Drop,CIP,Adult,60,100000,700000.0,7.0,0.12,Yes,35034.75,Air,1120.0,-447
798,Pre-PQ Process,SCMS-14600,ASN-1154,Botswana,Direct Drop,CIF,HIV test,100,5,1750.0,350.0,3.5,Yes,Freight Included in Commodity Cost,Air,2.8,-522
799,Pre-PQ Process,SCMS-14730,ASN-1066,Rwanda,Direct Drop,CIP,Adult,30,32510,381992.5,11.75,0.39,Yes,28336.18,Air,611.19,-515
800,Pre-PQ Process,SCMS-14780,ASN-1139,Kazakhstan,Direct Drop,DDP,HIV test,100,50,17500.0,350.0,3.5,Yes,Freight Included in Commodity Cost,Air,28.0,-495
801,Pre-PQ Process,SCMS-15060,ASN-1366,Nigeria,Direct Drop,DDP,HIV test,1,600,22500.0,37.5,37.5,Yes,Freight Included in Commodity Cost,Air,36.0,-494
802,Pre-PQ Process,SCMS-15220,ASN-1696,Tanzania,Direct Drop,CIP,Pediatric,200,712,8964.08,12.59,0.06,Yes,Freight Included in Commodity Cost,Air,14.34,-389
803,Pre-PQ Process,SCMS-15470,ASN-2759,Haiti,Direct Drop,EXW,HIV test,100,2,278.0,139.0,1.39,Yes,523.12,Air,0.54,-202
804,Pre-PQ Process,SCMS-15510,ASN-1273,Haiti,Direct Drop,EXW,HIV test,100,125,17375.0,139.0,1.39,Yes,1425.77,Air,27.8,-476
805,Pre-PQ Process,SCMS-16600,ASN-1520,South Africa,Direct Drop,DDP,Adult,180,400,18460.0,46.15,0.26,No,Freight Included in Commodity Cost,Air,29.54,-514
806,Pre-PQ Process,SCMS-16890,ASN-2267,Nigeria,Direct Drop,EXW,HIV test,20,6520,176040.0,27.0,1.35,Yes,12768.47,Air,281.66,-285
807,Pre-PQ Process,SCMS-16900,ASN-1410,Nigeria,Direct Drop,EXW,HIV test - Ancillary,100,6199,61.99,0.01,0.0,Yes,Invoiced Separately,Air,0.1,-448
808,Pre-PQ Process,SCMS-17290,ASN-1355,Benin,Direct Drop,EXW,HIV test,25,232,4640.0,20.0,0.8,Yes,1136.37,Air,7.42,-454
809,Pre-PQ Process,SCMS-18270,ASN-1463,Haiti,Direct Drop,EXW,HIV test,100,30,10500.0,350.0,3.5,Yes,2556.61,Air,16.8,-429
810,Pre-PQ Process,SCMS-18330,ASN-3024,Côte d'Ivoire,Direct Drop,EXW,HIV test,20,289,7803.0,27.0,1.35,Yes,1550.95,Air,15.29,-103
811,Pre-PQ Process,SCMS-18340,ASN-1747,Mozambique,Direct Drop,EXW,HIV test - Ancillary,100,3000,30.0,0.01,0.0,Yes,Invoiced Separately,Air,0.05,-327
812,Pre-PQ Process,SCMS-19120,ASN-2356,Kyrgyzstan,Direct Drop,DDP,HIV test,40,500,39500.0,79.0,1.98,Yes,Freight Included in Commodity Cost,Air,63.2,-255
813,Pre-PQ Process,SCMS-20360,ASN-2043,Vietnam,Direct Drop,EXW,Adult,30,10080,115718.4,11.48,0.38,Yes,4408.29,Air,185.15,-319
814,Pre-PQ Process,SCMS-21580,ASN-1786,Nigeria,Direct Drop,EXW,HIV test,100,1130,90388.7,79.99,0.8,Yes,3748.24,Air,144.62,-369
815,Pre-PQ Process,SCMS-22700,ASN-1908,Botswana,Direct Drop,EXW,HIV test,100,100,7199.0,71.99,0.72,Yes,641.06,Air,11.52,-305
816,Pre-PQ Process,SCMS-22700,ASN-1909,Botswana,Direct Drop,EXW,HIV test - Ancillary,100,100,1.0,0.01,0.0,Yes,Invoiced Separately,Air,0.0,-325
817,Pre-PQ Process,SCMS-22740,ASN-2400,Botswana,Direct Drop,EXW,HIV test,20,500,16000.0,32.0,1.6,Yes,1225.17,Air,25.6,-195
818,Pre-PQ Process,SCMS-23300,ASN-2485,Vietnam,Direct Drop,EXW,Adult,60,9792,72460.8,7.4,0.12,Yes,5136.08,Air,115.94,-238
819,Pre-PQ Process,SCMS-23340,ASN-2277,Vietnam,Direct Drop,EXW,Adult,60,3840,12326.4,3.21,0.05,No,See ASN-2277 (ID#:5793),Air,19.72,-255
820,Pre-PQ Process,SCMS-23440,ASN-2335,Vietnam,Direct Drop,EXW,Adult,60,432,3240.0,7.5,0.12,No,See ASN-2335 (ID#:5796),Air,5.18,-254
821,Pre-PQ Process,SCMS-23450,ASN-2336,Vietnam,Direct Drop,EXW,Adult,60,14364,37346.4,2.6,0.04,No,See ASN-2336 (ID#:530),Air,59.75,-255
822,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,Direct Drop,DDP,Adult,60,100,517.0,5.17,0.09,No,Freight Included in Commodity Cost,Truck,0.83,-389
823,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,Direct Drop,DDP,Adult,30,80,1968.0,24.6,0.82,No,Freight Included in Commodity Cost,Truck,3.15,-389
824,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,Direct Drop,DDP,Pediatric,30,240,717.6,2.99,0.1,No,Freight Included in Commodity Cost,Truck,1.15,-389
825,Pre-PQ Process,SCMS-23580,ASN-1821,Haiti,Direct Drop,EXW,HIV test,100,4,556.0,139.0,1.39,Yes,1808.19,Air,0.89,-360
826,Pre-PQ Process,SCMS-23790,ASN-2146,Haiti,Direct Drop,CIP,HIV test,100,54,18900.0,350.0,3.5,Yes,Freight Included in Commodity Cost,Air,30.24,-285
827,Pre-PQ Process,SCMS-25710,ASN-2843,Zambia,Direct Drop,EXW,HIV test,25,500,10000.0,20.0,0.8,Yes,1754.04,Air,19.6,-195
828,Pre-PQ Process,SCMS-26820,ASN-2488,South Africa,Direct Drop,DDP,Pediatric,300,10,354.6,35.46,0.12,No,Freight Included in Commodity Cost,Truck,0.57,-328
829,Pre-PQ Process,SCMS-27300,ASN-2855,Vietnam,Direct Drop,FCA,Adult,120,1080,88776.0,82.2,0.68,Yes,2985.93,Air,174.0,-180
830,Pre-PQ Process,SCMS-27310,ASN-2809,Vietnam,Direct Drop,EXW,Adult,60,380,8930.0,23.5,0.39,No,See ASN-2809 (ID#:1955),Air,17.5,-189
831,Pre-PQ Process,SCMS-27320,ASN-2792,Vietnam,Direct Drop,EXW,Adult,60,2200,25080.0,11.4,0.19,No,See ASN-2792 (ID#:5936),Air,49.16,-192
832,Pre-PQ Process,SCMS-27880,ASN-2378,Haiti,Direct Drop,FCA,Pediatric,60,20,205.6,10.28,0.17,Yes,658.68,Air,0.33,-245
833,Pre-PQ Process,SCMS-28710,ASN-2575,Ethiopia,Direct Drop,EXW,HIV test,1,7002,161046.0,23.0,23.0,Yes,44347.71,Air,257.67,-238
834,Pre-PQ Process,SCMS-28830,ASN-2503,South Africa,Direct Drop,DDP,Adult,30,1500,24300.0,16.2,0.54,No,Freight Included in Commodity Cost,Truck,38.88,-291
835,Pre-PQ Process,SCMS-28830,ASN-2503,South Africa,Direct Drop,DDP,Pediatric,30,200,572.0,2.86,0.1,No,Freight Included in Commodity Cost,Truck,0.92,-291
836,Pre-PQ Process,SCMS-28870,ASN-2794,Nigeria,Direct Drop,EXW,HIV test,20,10594,286038.0,27.0,1.35,Yes,24025.77,Air,560.63,-193
837,Pre-PQ Process,SCMS-30500,ASN-2896,Nigeria,Direct Drop,CIP,Adult,30,2000,100800.0,50.4,1.68,Yes,924.4,Air,197.57,-189
838,Pre-PQ Process,SCMS-30501,ASN-3706,Nigeria,Direct Drop,CIP,Adult,30,3991,201146.4,50.4,1.68,Yes,Freight Included in Commodity Cost,Air,394.25,-83
839,Pre-PQ Process,SCMS-31360,ASN-2737,Botswana,Direct Drop,EXW,HIV test - Ancillary,3,10,152.5,15.25,5.08,Yes,526.05,Air,0.3,-193
840,Pre-PQ Process,SCMS-31390,ASN-3508,Zambia,Direct Drop,EXW,HIV test - Ancillary,100,5500,55.0,0.01,0.0,No,See ASN-3508 (ID#:3441),Air,0.11,-75
841,Pre-PQ Process,SCMS-31750,ASN-3507,Mozambique,Direct Drop,EXW,HIV test,100,4800,345600.0,72.0,0.72,Yes,13093.27,Air,677.38,-48
842,Pre-PQ Process,SCMS-31790,ASN-2947,Namibia,Direct Drop,EXW,HIV test,20,650,20800.0,32.0,1.6,Yes,7936.81,Air,40.77,-161
843,Pre-PQ Process,SCMS-31800,ASN-3210,Namibia,Direct Drop,EXW,HIV test,25,20,1500.0,75.0,3.0,Yes,1153.43,Air,2.94,-129
844,Pre-PQ Process,SCMS-32420,ASN-3079,Namibia,Direct Drop,EXW,HIV test,20,35,1120.0,32.0,1.6,Yes,585.12,Air,2.2,-138
845,Pre-PQ Process,SCMS-32640,ASN-2936,Ethiopia,Direct Drop,EXW,HIV test,1,3470,79810.0,23.0,23.0,Yes,22803.8,Air,156.43,-182
846,Pre-PQ Process,SCMS-34430,ASN-3699,Tanzania,Direct Drop,EXW,HIV test,20,839,26848.0,32.0,1.6,Yes,3146.63,Air,52.62,-15
847,Pre-PQ Process,SCMS-34690,ASN-3853,Tanzania,Direct Drop,CIP,Adult,30,2680,135072.0,50.4,1.68,No,See ASN-3853 (ID#:4824),Air,264.74,14
848,Pre-PQ Process,SCMS-36490,ASN-3170,Tanzania,Direct Drop,FCA,Adult,120,12500,513750.0,41.1,0.34,Yes,12937.16,Air,1006.95,-98
849,Pre-PQ Process,SCMS-37200,ASN-3630,Vietnam,Direct Drop,EXW,Adult,60,168,1260.0,7.5,0.12,Yes,2793.62,Air,2.47,-53
850,Pre-PQ Process,SCMS-37190,ASN-3522,Vietnam,Direct Drop,EXW,Adult,60,24480,168912.0,6.9,0.12,Yes,4443.97,Air,331.07,-66
851,Pre-PQ Process,SCMS-38050,ASN-3424,Botswana,Direct Drop,EXW,HIV test,100,5,1750.0,350.0,3.5,Yes,810.85,Air,3.43,-90
852,Pre-PQ Process,SCMS-38410,ASN-4381,Tanzania,Direct Drop,FCA,Adult,120,60,2466.0,41.1,0.34,No,See ASN-4381 (ID#:4949),Air,4.83,71
853,Pre-PQ Process,SCMS-38680,ASN-3697,Rwanda,Direct Drop,EXW,HIV test,20,1163,37216.0,32.0,1.6,Yes,6269.97,Air,72.94,-56
854,Pre-PQ Process,SCMS-30311,ASN-3852,Rwanda,Direct Drop,CIP,Adult,60,22752,207043.2,9.1,0.15,Yes,853.87,Air,405.8,-41
855,Pre-PQ Process,SCMS-39940,ASN-3753,Haiti,Direct Drop,FCA,Pediatric,60,14,143.92,10.28,0.17,Yes,810.36,Air,0.28,-47
856,Pre-PQ Process,SCMS-40050,ASN-3743,Haiti,Direct Drop,EXW,Adult,30,560,5040.0,9.0,0.3,Yes,806.55,Air,9.88,-41
857,Pre-PQ Process,SCMS-40060,ASN-3712,Haiti,Direct Drop,FCA,Pediatric,300,50,2055.0,41.1,0.14,Yes,2704.58,Air,4.03,-42
858,Pre-PQ Process,SCMS-40800,ASN-3577,South Africa,Direct Drop,DDP,Pediatric,300,90,2834.1,31.49,0.1,Yes,Freight Included in Commodity Cost,Air,5.55,-182
859,Pre-PQ Process,SCMS-40830,ASN-3578,South Africa,Direct Drop,DDP,Adult,30,3710,60732.7,16.37,0.55,Yes,Freight Included in Commodity Cost,Air,119.04,-164
860,Pre-PQ Process,SCMS-40840,ASN-3779,South Africa,Direct Drop,DDP,Adult,60,25637,63323.39,2.47,0.04,Yes,Freight Included in Commodity Cost,Air,124.11,-59
861,Pre-PQ Process,SCMS-40870,ASN-3582,South Africa,Direct Drop,DDP,Adult,60,1200,6564.0,5.47,0.09,Yes,Freight Included in Commodity Cost,Air,12.87,-122
862,Pre-PQ Process,SCMS-40880,ASN-3610,South Africa,Direct Drop,DDP,Adult,60,16000,85280.0,5.33,0.09,No,Freight Included in Commodity Cost,Air,167.15,-119
863,Pre-PQ Process,SCMS-41040,ASN-3623,South Africa,Direct Drop,DDP,Pediatric,240,2000,10380.0,5.19,0.02,No,Freight Included in Commodity Cost,Air,20.34,-180
864,Pre-PQ Process,SCMS-41080,ASN-3637,South Africa,Direct Drop,DDP,Pediatric,240,1500,5445.0,3.63,0.02,No,Freight Included in Commodity Cost,Air,10.67,-130
865,Pre-PQ Process,SCMS-41100,ASN-4668,South Africa,Direct Drop,DDP,Adult,60,4023,46988.64,11.68,0.19,Yes,Freight Included in Commodity Cost,Air,92.1,-59
866,Pre-PQ Process,SCMS-41140,ASN-3752,South Africa,Direct Drop,DDP,Adult,60,200,2998.0,14.99,0.25,No,Freight Included in Commodity Cost,Air,5.88,-192
867,Pre-PQ Process,SCMS-41140,ASN-3752,South Africa,Direct Drop,DDP,Pediatric,90,100,2454.0,24.54,0.27,No,Freight Included in Commodity Cost,Air,4.81,-192
868,Pre-PQ Process,SCMS-41150,ASN-3759,South Africa,Direct Drop,DDP,Pediatric,300,80,2388.8,29.86,0.1,No,Freight Included in Commodity Cost,Air,4.68,-192
869,Pre-PQ Process,SCMS-41190,ASN-3732,South Africa,Direct Drop,DDP,Adult,120,200,6182.0,30.91,0.26,No,Freight Included in Commodity Cost,Air,12.12,-131
870,Pre-PQ Process,SCMS-41190,ASN-3732,South Africa,Direct Drop,DDP,Pediatric,200,140,833.0,5.95,0.03,No,Freight Included in Commodity Cost,Air,1.63,-131
871,Pre-PQ Process,SCMS-41190,ASN-3732,South Africa,Direct Drop,DDP,Adult,30,60,1813.2,30.22,1.01,No,Freight Included in Commodity Cost,Air,3.55,-131
872,Pre-PQ Process,SCMS-41190,ASN-3732,South Africa,Direct Drop,DDP,Pediatric,240,30,323.4,10.78,0.04,No,Freight Included in Commodity Cost,Air,0.63,-131
873,Pre-PQ Process,SCMS-41210,ASN-3737,South Africa,Direct Drop,DDP,Adult,60,1200,6012.0,5.01,0.08,No,Freight Included in Commodity Cost,Air,11.78,-129
874,Pre-PQ Process,SCMS-41588,ASN-4359,South Africa,Direct Drop,DDP,Pediatric,60,2160,23133.6,10.71,0.18,Yes,Freight Included in Commodity Cost,Air,45.34,-45
875,Pre-PQ Process,SCMS-41585,ASN-4386,South Africa,Direct Drop,DDP,Adult,60,3000,16080.0,5.36,0.09,No,Freight Included in Commodity Cost,Air,31.52,-41
876,Pre-PQ Process,SCMS-41586,ASN-4387,South Africa,Direct Drop,DDP,Adult,60,6000,100560.0,16.76,0.28,No,Freight Included in Commodity Cost,Air,197.1,-47
877,Pre-PQ Process,SCMS-41587,ASN-4602,South Africa,Direct Drop,DDP,Pediatric,60,6840,73256.4,10.71,0.18,No,Freight Included in Commodity Cost,Air,143.58,-46
878,Pre-PQ Process,SCMS-47390,ASN-4402,South Africa,Direct Drop,DDP,Adult,84,10,84.0,8.4,0.1,No,Freight Included in Commodity Cost,Truck,0.16,-41
879,Pre-PQ Process,SCMS-47320,ASN-4224,South Africa,Direct Drop,DDP,Adult,30,80,1502.4,18.78,0.63,Yes,Freight Included in Commodity Cost,Truck,2.94,-17
880,Pre-PQ Process,SCMS-47500,ASN-4332,South Africa,Direct Drop,DDP,Pediatric,240,200,1208.0,6.04,0.03,No,See ASN-4332 (ID#:1115),Truck,2.37,-39
